,topic,tweet,tweets_cleaned
79,soda,"@jnflesch Se eu fosse cantor: vários lanches do McDonald’s com milkshake, fini variado, soda pop de todos os sabores e comida mexicana. t.co/nwPsrCre9K",jnflesch se eu fosse cantor vários lanches mcdonald com milkshake fini variado soda pop de todos o sabores e comida mexicana tconwpsrcrek
83,soda,@Andy091218 @Mariadenadie15 Café y Soda!!!,andy mariadenadie café soda
85,soda,@AnOldLefty Vodka soda in your honor. t.co/BezIm3AY9T,anoldlefty vodka soda honor tcobezimayt
93,soda,@Qwerty_Soda t.co/o5KpxigX6C,qwertysoda tcookpxigxc
99,soda,@Qwerty_Soda 🫡,qwertysoda 
103,soda,@Qwerty_Soda u doing shirt collabs?,qwertysoda u shirt collabs
112,soda,"@Soda_Maccha_906 おは五月!!🌟🌟
学校やだよね😖
しんです。よろしく！🙏",sodamaccha おは五月 学校やだよね しんです よろしく 
122,soda,@coda_soda_goda 水掛論にはキリがないので、私は乗らないようにしてます（同感ですが）。日本手話で教育を受ける、学習権の話です。そして歩み寄ることを学ぶ前の話なのに、小学校3年生の子に「歩み寄れ」「コミュ手段身につけろ」と論点のすり替えはダメですよって話ですよね。,codasodagoda 水掛論にはキリがないので 私は乗らないようにしてます 同感ですが 日本手話で教育を受ける 学習権の話です そして歩み寄ることを学ぶ前の話なのに 小学校年生の子に 歩み寄れ コミュ手段身につけろ と論点のすり替えはダメですよって話ですよね 
128,soda,Enjoying some Encrypted vodka and soda from @1220spirits and @4HandsBrewingCo This is the best drinking glass! t.co/qhr5cwYhGT,enjoying encrypted vodka soda spirit handsbrewingco best drinking glass tcoqhrcwyhgt
131,soda,"【クーポン利用で1,279円！熱中症対策に新タイプ☆ソルティレモン登場！】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分… [楽天] t.co/GmKvgwjvZz #RakutenBookmark", クーポン利用で円 熱中症対策に新タイプ ソルティレモン登場 炭酸水 ml 本 送料無料 強炭酸 炭酸 無糖 zao soda プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー lifedrink 熱中症対策 塩分 塩分 楽天 tcogmkvgwjvzz rakutenbookmark
141,soda,"Hear me out

Ginseng flavored Cocaine Soda

as a service",hear ginseng flavored cocaine soda service
152,soda,"✨️ Dashie's Delights ✨️

This week: Mustard Soda 🍹 t.co/wjha5uTF0c", dashies delight week mustard soda tcowjhautfc
154,soda,people put PEANUTS IN SODA ???!?!??!???,people put peanut soda 
156,soda,@LVJYENJOYER i will bring the soda,lvjyenjoyer bring soda
158,soda,"@_bIurryface I was going to say obviously you are fairly local but there are smaller ones that remind me of you for sure. pork soda is one of them, perfect places by lorde is another one, and the friends theme song is A BIG ONE and you remind me of all the disney songs abt friendship",biurryface going say obviously fairly local smaller one remind sure pork soda one perfect place lorde another one friend theme song big one remind disney song abt friendship
159,soda,"@PalenciaDiego @mvalenciamayor ""Solo dios sabe que es el séptimo dia, el abismo y la luna, no descansaré"" Soda Stereo 1990.",palenciadiego mvalenciamayor solo dios sabe que e el séptimo dia el abismo la luna descansaré soda stereo 
164,soda,The things that cross my mind while pouring myself a soda t.co/OysUgfKBrv,thing cross mind pouring soda tcooysugfkbrv
170,soda,"Soda. Though usually if I'm getting a soda I want a Coke Zero, so I ask for a Coke Zero.

Even when I was living in the south I heard most people saying ""soda"" so I feel like the regional differences might be homogenizing a bit. t.co/CmUkCCSOcr",soda though usually im getting soda want coke zero ask coke zero even living south heard people saying soda feel like regional difference might homogenizing bit tcocmukccsocr
172,soda,@DonLew87 Soda in 2022? Only unhealthy drinks we doing is alcohol at least there is a buzz there I personally stopped soda at the beginning of the pandemic,donlew soda unhealthy drink alcohol least buzz personally stopped soda beginning pandemic
174,soda,Next was a soda tier list I'm sorry I don't drink a lot of soda t.co/1pJDTFX2q2,next soda tier list im sorry dont drink lot soda tcopjdtfxq
177,soda,@iwannago_higher Baking soda?,iwannagohigher baking soda
181,soda,"Few sips left in a 2-liter soda bottle in the 'fridge. Drink it from the bottle, pour it in a glass, or go on about soda being unhealthy?",sip left liter soda bottle fridge drink bottle pour glass go soda unhealthy
182,soda,Day 396 of getting @MrBeast to get some soda off of me.,day getting mrbeast get soda
191,soda,@Riedal64 I prefer the soda squirt 😈🔥,riedal prefer soda squirt 
194,soda,@ttxyn1 @PatrzInaczej Mielim syfon na naboje 😍 Ale oranżada z sodą i kwasem też chodziła 😝,ttxyn patrzinaczej mielim syfon na naboje ale oranżada z sodą kwasem też chodziła 
198,soda,"Question, how many of you know the Soda squirt 😈🔥",question many know soda squirt 
202,soda,@Riedal64 I probably should clarify this but it’s a grapefruit soda sold around New Jersey that taste similar to Sprite 😈🔥,riedal probably clarify grapefruit soda sold around new jersey taste similar sprite 
206,soda,@____Gil this looks like before getting on a cruise ship. lol which In that case you can bring soda 😂,gil look like getting cruise ship lol case bring soda 
207,soda,@Riedal64 The grapefruit soda baka 😈🔥😳,riedal grapefruit soda baka 
208,soda,"#WhatTheFanta gotta be Cream Soda, yeah? #MysteryFlavor #Fanta t.co/ztt0gnIhCa",whatthefanta gotta cream soda yeah mysteryflavor fanta tcozttgnihca
209,soda,"Also, to add to this, there should be much better options for non drinkers that’s not just soft drinks or a lime and soda, orange juice",also add much better option non drinker soft drink lime soda orange juice
