,topic,tweet,tweet_stemmed
131,soda,"【クーポン利用で1,279円！熱中症対策に新タイプ☆ソルティレモン登場！】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分… [楽天] t.co/GmKvgwjvZz #RakutenBookmark","['', 'クーポン利用で円', '熱中症対策に新タイプ', 'ソルティレモン登場', '炭酸水', 'ml', '本', '送料無料', '強炭酸', '炭酸', '無糖', 'zao', 'soda', 'プレーン', 'レモン', 'ピンクグレープフルーツ', '割り材', '箱買い', 'ライフドリンクカンパニー', 'lifedrink', '熱中症対策', '塩分', '塩分', '楽天', 'tcogmkvgwjvzz', 'rakutenbookmark']"
141,soda,"Hear me out

Ginseng flavored Cocaine Soda

as a service","['hear', 'ginseng', 'flavor', 'cocain', 'soda', 'servic']"
152,soda,"✨️ Dashie's Delights ✨️

This week: Mustard Soda 🍹 t.co/wjha5uTF0c","['', 'dashi', 'delight', 'week', 'mustard', 'soda', 'tcowjhautfc']"
154,soda,people put PEANUTS IN SODA ???!?!??!???,"['peopl', 'put', 'peanut', 'soda', '']"
156,soda,@LVJYENJOYER i will bring the soda,"['lvjyenjoy', 'bring', 'soda']"
158,soda,"@_bIurryface I was going to say obviously you are fairly local but there are smaller ones that remind me of you for sure. pork soda is one of them, perfect places by lorde is another one, and the friends theme song is A BIG ONE and you remind me of all the disney songs abt friendship","['biurryfac', 'go', 'say', 'obvious', 'fairli', 'local', 'smaller', 'one', 'remind', 'sure', 'pork', 'soda', 'one', 'perfect', 'place', 'lord', 'anoth', 'one', 'friend', 'theme', 'song', 'big', 'one', 'remind', 'disney', 'song', 'abt', 'friendship']"
159,soda,"@PalenciaDiego @mvalenciamayor ""Solo dios sabe que es el séptimo dia, el abismo y la luna, no descansaré"" Soda Stereo 1990.","['palenciadiego', 'mvalenciamayor', 'solo', 'dio', 'sabe', 'que', 'es', 'el', 'séptimo', 'dia', 'el', 'abismo', 'la', 'luna', 'descansaré', 'soda', 'stereo', '']"
164,soda,The things that cross my mind while pouring myself a soda t.co/OysUgfKBrv,"['thing', 'cross', 'mind', 'pour', 'soda', 'tcooysugfkbrv']"
170,soda,"Soda. Though usually if I'm getting a soda I want a Coke Zero, so I ask for a Coke Zero.

Even when I was living in the south I heard most people saying ""soda"" so I feel like the regional differences might be homogenizing a bit. t.co/CmUkCCSOcr","['soda', 'though', 'usual', 'im', 'get', 'soda', 'want', 'coke', 'zero', 'ask', 'coke', 'zero', 'even', 'live', 'south', 'heard', 'peopl', 'say', 'soda', 'feel', 'like', 'region', 'differ', 'might', 'homogen', 'bit', 'tcocmukccsocr']"
172,soda,@DonLew87 Soda in 2022? Only unhealthy drinks we doing is alcohol at least there is a buzz there I personally stopped soda at the beginning of the pandemic,"['donlew', 'soda', 'unhealthi', 'drink', 'alcohol', 'least', 'buzz', 'person', 'stop', 'soda', 'begin', 'pandem']"
