,topic,tweet,tweet_tokenized
122,soda,@coda_soda_goda 水掛論にはキリがないので、私は乗らないようにしてます（同感ですが）。日本手話で教育を受ける、学習権の話です。そして歩み寄ることを学ぶ前の話なのに、小学校3年生の子に「歩み寄れ」「コミュ手段身につけろ」と論点のすり替えはダメですよって話ですよね。,"['codasodagoda', '水掛論にはキリがないので', '私は乗らないようにしてます', '同感ですが', '日本手話で教育を受ける', '学習権の話です', 'そして歩み寄ることを学ぶ前の話なのに', '小学校年生の子に', '歩み寄れ', 'コミュ手段身につけろ', 'と論点のすり替えはダメですよって話ですよね', '']"
128,soda,Enjoying some Encrypted vodka and soda from @1220spirits and @4HandsBrewingCo This is the best drinking glass! t.co/qhr5cwYhGT,"['enjoying', 'some', 'encrypted', 'vodka', 'and', 'soda', 'from', 'spirits', 'and', 'handsbrewingco', 'this', 'is', 'the', 'best', 'drinking', 'glass', 'tcoqhrcwyhgt']"
131,soda,"【クーポン利用で1,279円！熱中症対策に新タイプ☆ソルティレモン登場！】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分… [楽天] t.co/GmKvgwjvZz #RakutenBookmark","['', 'クーポン利用で円', '熱中症対策に新タイプ', 'ソルティレモン登場', '炭酸水', 'ml', '本', '送料無料', '強炭酸', '炭酸', '無糖', 'zao', 'soda', 'プレーン', 'レモン', 'ピンクグレープフルーツ', '割り材', '箱買い', 'ライフドリンクカンパニー', 'lifedrink', '熱中症対策', '塩分', '塩分', '楽天', 'tcogmkvgwjvzz', 'rakutenbookmark']"
141,soda,"Hear me out

Ginseng flavored Cocaine Soda

as a service","['hear', 'me', 'out', 'ginseng', 'flavored', 'cocaine', 'soda', 'as', 'a', 'service']"
152,soda,"✨️ Dashie's Delights ✨️

This week: Mustard Soda 🍹 t.co/wjha5uTF0c","['', 'dashies', 'delights', 'this', 'week', 'mustard', 'soda', 'tcowjhautfc']"
154,soda,people put PEANUTS IN SODA ???!?!??!???,"['people', 'put', 'peanuts', 'in', 'soda', '']"
156,soda,@LVJYENJOYER i will bring the soda,"['lvjyenjoyer', 'i', 'will', 'bring', 'the', 'soda']"
158,soda,"@_bIurryface I was going to say obviously you are fairly local but there are smaller ones that remind me of you for sure. pork soda is one of them, perfect places by lorde is another one, and the friends theme song is A BIG ONE and you remind me of all the disney songs abt friendship","['biurryface', 'i', 'was', 'going', 'to', 'say', 'obviously', 'you', 'are', 'fairly', 'local', 'but', 'there', 'are', 'smaller', 'ones', 'that', 'remind', 'me', 'of', 'you', 'for', 'sure', 'pork', 'soda', 'is', 'one', 'of', 'them', 'perfect', 'places', 'by', 'lorde', 'is', 'another', 'one', 'and', 'the', 'friends', 'theme', 'song', 'is', 'a', 'big', 'one', 'and', 'you', 'remind', 'me', 'of', 'all', 'the', 'disney', 'songs', 'abt', 'friendship']"
159,soda,"@PalenciaDiego @mvalenciamayor ""Solo dios sabe que es el séptimo dia, el abismo y la luna, no descansaré"" Soda Stereo 1990.","['palenciadiego', 'mvalenciamayor', 'solo', 'dios', 'sabe', 'que', 'es', 'el', 'séptimo', 'dia', 'el', 'abismo', 'y', 'la', 'luna', 'no', 'descansaré', 'soda', 'stereo', '']"
164,soda,The things that cross my mind while pouring myself a soda t.co/OysUgfKBrv,"['the', 'things', 'that', 'cross', 'my', 'mind', 'while', 'pouring', 'myself', 'a', 'soda', 'tcooysugfkbrv']"
